particle_type,wavelength,# of data points,25%,median,75%
Irregular Alpha,375,38,0.0011156858775195379,0.0012004732341632522,0.0012748420100518226
Irregular Alpha,405,38,0.000869897252131123,0.0009349297054969514,0.0009831031539247663
Irregular Alpha,532,29,0.0009706643206775143,0.0010892225527021208,0.001162305926729969
Irregular Alpha,721,25,0.0004754568287953698,0.0005558388855057303,0.0006232538932355002
Irregular Alpha,1047,29,0.00013919344178022725,0.00014517288997890792,0.0002044029960985017
Irregular Gamma,375,45,0.0008407696863131067,0.0012064813027647821,0.0017453318476817361
Irregular Gamma,405,39,0.0008963938783831198,0.0009217698700913227,0.0009908742148218178
Irregular Gamma,532,41,0.0009130532971478888,0.0010639886419312632,0.0011859419687023395
Irregular Gamma,721,0,NA,NA,NA
Irregular Gamma,1047,39,0.00022254988573347504,0.00024356140010229775,0.00028202644297329016
Spherical Alpha,375,3,0.00022010351216471117,0.00023854196028779914,0.0002630976601610082
Spherical Alpha,405,6,0.0001344468390947682,0.00013995529615410448,0.0001446252060946417
Spherical Alpha,532,3,0.00019951480543847557,0.000248574474191448,0.00037291903810266467
Spherical Alpha,721,6,0.0002139625,0.00035297499999999995,0.0003634375
Spherical Alpha,1047,5,0.0001812,0.00023411564766642333,0.00024973
